C2H5NO3->CH3CHO+HO2+NO2                 742  1
RN10NO3->C2H5CHO+HO2+NO2                743  1
IC3H7NO3->CH3COCH3+HO2+NO2              744  1
RN13NO3->CH3CHO+C2H5O2+NO2              745  1
RN13NO3->CARB11A+HO2+NO2                746  1
RN16NO3->RN15O2+NO2                     747  1
RN19NO3->RN18O2+NO2                     748  1
RA13NO3->CARB3+UDCARB8+HO2+NO2          749  1
RA16NO3->CARB3+UDCARB11+HO2+NO2         750  1
RA19NO3->CARB6+UDCARB11+HO2+NO2         751  1
RTX24NO3->TXCARB22+HO2+NO2              752  1
O->O3                                     1  0
O->O3                                     2  0
O+O3->O2+O2                               3  0
O+NO->NO2                                 4  0
O+NO2->NO                                 5  0
O+NO2->NO3                                6  0
O1D->O                                    7  0
O1D->O                                    8  0
NO+O3->NO2                                9  0
NO2+O3->NO3                              10  0
NO+NO->NO2+NO2                           11  0
NO+NO3->NO2+NO2                          12  0
NO2+NO3->NO+NO2                          13  0
NO2+NO3->N2O5                            14  0
N2O5->NO2+NO3                            15  0
OH+O3->HO2                               17  0
OH+H2->HO2                               18  0
OH+CO->HO2                               19  0
OH+H2O2->HO2                             20  0
OH+HO2->                                 22  0
HO2+HO2->H2O2                            23  0
HO2+HO2->H2O2                            24  0
OH+NO->HONO                              25  0
NO2->HONO                                26  0
OH+NO2->HNO3                             27  0
OH+NO3->HO2+NO2                          28  0
HO2+NO2->HO2NO2                          30  0
HO2NO2->HO2+NO2                          31  0
OH+HO2NO2->NO2                           32  0
OH+HONO->NO2                             34  0
OH+HNO3->NO3                             35  0
O+SO2->SO3                               36  0
OH+SO2->HSO3                             37  0
HSO3->HO2+SO3                            38  0
HNO3->NA                                 39  0
N2O5->NA+NA                              40  0
SO3->SA                                  41  0
OH+CH4->CH3O2                            42  0
OH+C2H6->C2H5O2                          43  0
OH+C3H8->IC3H7O2                         44  0
OH+C3H8->RN10O2                          45  0
OH+NC4H10->RN13O2                        46  0
OH+C2H4->HOCH2CH2O2                      47  0
OH+C3H6->RN9O2                           48  0
OH+TBUT2ENE->RN12O2                      49  0
NO3+C2H4->NRN6O2                         50  0
NO3+C3H6->NRN9O2                         51  0
NO3+TBUT2ENE->NRN12O2                    52  0
O3+C2H4->HCHO+HCOOH                      54  0
O3+C3H6->HCHO+CH3CO2H                    56  0
O3+TBUT2ENE->CH3CHO+CH3CO2H              58  0
OH+C5H8->RU14O2                          59  0
NO3+C5H8->NRU14O2                        60  0
O3+C5H8->UCARB10+HCOOH                   62  0
APINENE+OH->RTN28O2                      63  0
APINENE+NO3->NRTN28O2                    64  0
APINENE+O3->TNCARB26+H2O2                66  0
APINENE+O3->RCOOH25                      67  0
BPINENE+OH->RTX28O2                      68  0
BPINENE+NO3->NRTX28O2                    69  0
BPINENE+O3->HCHO+TXCARB24+H2O2           71  0
BPINENE+O3->HCHO+TXCARB22                72  0
BPINENE+O3->TXCARB24+CO                  73  0
C2H2+OH->HCOOH+CO+HO2                    74  0
C2H2+OH->CARB3+OH                        75  0
BENZENE+OH->RA13O2                       76  0
BENZENE+OH->AROH14+HO2                   77  0
TOLUENE+OH->RA16O2                       78  0
TOLUENE+OH->AROH17+HO2                   79  0
OXYL+OH->RA19AO2                         80  0
OXYL+OH->RA19CO2                         81  0
OH+HCHO->HO2+CO                          82  0
OH+CH3CHO->CH3CO3                        83  0
OH+C2H5CHO->C2H5CO3                      84  0
NO3+HCHO->HO2+CO+HNO3                    85  0
NO3+CH3CHO->CH3CO3+HNO3                  86  0
NO3+C2H5CHO->C2H5CO3+HNO3                87  0
OH+CH3COCH3->RN8O2                       88  0
MEK+OH->RN11O2                           89  0
OH+CH3OH->HO2+HCHO                       90  0
OH+C2H5OH->CH3CHO+HO2                    91  0
OH+C2H5OH->HOCH2CH2O2                    92  0
NPROPOL+OH->C2H5CHO+HO2                  93  0
NPROPOL+OH->RN9O2                        94  0
OH+IPROPOL->CH3COCH3+HO2                 95  0
OH+IPROPOL->RN9O2                        96  0
HCOOH+OH->HO2                            97  0
CH3CO2H+OH->CH3O2                        98  0
OH+CH3CL->CH3O2                          99  0
OH+CH2CL2->CH3O2                        100  0
OH+CHCL3->CH3O2                         101  0
OH+CH3CCL3->C2H5O2                      102  0
OH+TCE->HOCH2CH2O2                      103  0
OH+TRICLETH->HOCH2CH2O2                 104  0
OH+CDICLETH->HOCH2CH2O2                 105  0
OH+TDICLETH->HOCH2CH2O2                 106  0
CH3O2+NO->HCHO+HO2+NO2                  107  0
C2H5O2+NO->CH3CHO+HO2+NO2               108  0
RN10O2+NO->C2H5CHO+HO2+NO2              109  0
IC3H7O2+NO->CH3COCH3+HO2+NO2            110  0
RN13O2+NO->CH3CHO+C2H5O2+NO2            111  0
RN13O2+NO->CARB11A+HO2+NO2              112  0
RN16O2+NO->RN15AO2+NO2                  113  0
RN19O2+NO->RN18AO2+NO2                  114  0
RN13AO2+NO->RN12O2+NO2                  115  0
RN16AO2+NO->RN15O2+NO2                  116  0
RA13O2+NO->CARB3+UDCARB8+HO2+NO2        117  0
RA16O2+NO->CARB3+UDCARB11+HO2+NO2       118  0
RA16O2+NO->CARB6+UDCARB8+HO2+NO2        119  0
